 item_code | total_spent 
-----------+-------------
 AGS5IF1   |   981451.44
 9XPFXKO   |   966850.84
 U42VKBX   |   964476.60
 2VGYJ92   |   961154.49
 SFZPKUS   |   954681.60
 4ZD3LRL   |   953984.58
 K6V3W37   |   949774.71
 Q09PCAI   |   943451.55
 2K26648   |   933552.60
 UUF3IAF   |   928778.72
 1SYAV36   |   925508.01
 0GJ8H0X   |   923731.80
 ZVJHKN3   |   922611.78
 06NLJUV   |   922004.85
 5DMU4H1   |   921603.28
 86K9M90   |   921373.46
 8JX84EZ   |   915214.08
 RPX9M3H   |   913186.66
 UTF6827   |   910381.68
 QVEHG5M   |   907626.40
 GOSLS0V   |   904640.40
 4KZY21Q   |   901882.50
 W6ZS9HH   |   899973.20
 MP81I3M   |   896045.43
 YIAZ7OX   |   896034.19
 B6PETNW   |   895348.89
 90GP1T5   |   894699.96
 OCNZIUV   |   891769.74
 DE4ISOT   |   890571.81
 UMA58RU   |   889348.20
 AHU5350   |   886977.00
 2V4UVGR   |   886015.20
 1NUJJ02   |   885272.76
 SBP5Y3S   |   884470.75
 5TUYPFU   |   884439.70
 63XVBMW   |   883928.26
 FTJ2I0T   |   882027.27
 FVFQ2N7   |   881905.00
 X4ZC5VY   |   881507.98
 258OD5X   |   881386.25
 I0BVB92   |   880717.86
 CZAE6OS   |   880694.40
 7L66DQK   |   880596.60
 6F3JW1F   |   879644.01
 GCGOI4V   |   878875.44
 8I0GMT7   |   875099.94
 KVHVEPH   |   870278.28
 9I25KMR   |   869565.32
 VJACVL9   |   868065.24
 1CSXPRS   |   866532.13
 M6TPDIP   |   864789.60
 76WQMRH   |   864028.80
 PPK9AX3   |   862464.54
 J2OBJYT   |   861443.04
 63G9X7R   |   860763.50
 5U57F8R   |   859379.51
 DFZXGC3   |   858171.86
 QYB7V72   |   857103.28
 10H6LTR   |   856553.94
 R63X2PM   |   856019.50
 JNNFNB5   |   853986.54
 IEW2KUI   |   852950.04
 QTZUDIY   |   852570.40
 CXHS5IS   |   851800.64
 PMIY7UL   |   850689.00
 W517P3R   |   850626.66
 U2B2HZL   |   849518.79
 EYPK4KD   |   849230.20
 JYE6Q7K   |   845685.26
 GZ5BMZD   |   844132.34
 TKAIZPO   |   842525.16
 7PVCS6F   |   842339.97
 U0P8YQ4   |   837415.80
 E5I3MQO   |   836623.80
 7DLL8QP   |   836561.79
 US7LRSC   |   836210.96
 USCDD86   |   835817.60
 FU7UQBA   |   835481.19
 ZPV343D   |   835213.14
 HQGWDBS   |   835135.04
 5H9PP6I   |   833996.62
 HRKN02J   |   833598.00
 HSOHT5U   |   833232.05
 0SMA03E   |   832122.90
 UETQ2G3   |   832047.95
 R8DYGP9   |   831642.57
 5L8JZRL   |   831597.18
 ABRK00D   |   831439.18
 7149W38   |   831367.32
 Q51TAG8   |   830106.00
 J07QGTK   |   829967.50
 0CSFRMU   |   829074.12
 JKV3QKU   |   828981.40
 FP9EKSV   |   828005.67
 PC0UFGI   |   826892.92
 NT7P5SH   |   824742.90
 L358P44   |   823860.18
 I87B4SR   |   823685.75
 M3VTYFH   |   823264.96
 SFBMFIG   |   821288.82
 ZZWKG8G   |   820652.40
 W15U174   |   820613.92
 Y7XEGS1   |   819562.91
 V1BL49Q   |   819468.35
 IYPPIKH   |   818598.69
 H9ZZT26   |   816707.71
 F3PA655   |   816476.20
 Q2SQTBF   |   815840.76
 WKFRNXY   |   815335.08
 6DFQEW9   |   813203.94
