    counterparty_legal_name     | total_spent  
--------------------------------+--------------
 Smith and Sons                 | 120782399.56
 Keeling - Emmerich             | 117565226.93
 Kihn Group                     | 113560912.83
 Hand, Krajcik and Kuhlman      | 112692346.39
 Padberg, Lueilwitz and Johnson | 112230324.68
 Price LLC                      | 112203469.47
 Emmerich, Rohan and Reynolds   | 111020284.08
 Hartmann, Franecki and Ratke   | 110970075.51
 Frami, Yundt and Macejkovic    | 110529277.18
 Hintz, Hayes and Will          | 110053639.17
 Leannon, Predovic and Morar    | 109708267.90
 Kohler Inc                     | 109594088.82
 Grant - Lakin                  | 109030024.90
 Yost, Watsica and Mann         | 108957961.62
 Armstrong Inc                  | 108503046.30
 Ondricka, Conroy and Turcotte  | 107881476.53
 Bosco - Grant                  | 107672997.76
 Corkery - Nienow               | 107144133.09
 Fahey and Sons                 | 105241463.50
 Mraz LLC                       | 100662398.05
(20 rows)

